filename,path,file type,size (bytes)
114442.csv,/pub10/ushcn_snow/R_input/IL,csv,3250016
114823.csv,/pub10/ushcn_snow/R_input/IL,csv,2931180
115079.csv,/pub10/ushcn_snow/R_input/IL,csv,2671404
115326.csv,/pub10/ushcn_snow/R_input/IL,csv,2894343
115515.csv,/pub10/ushcn_snow/R_input/IL,csv,2759181
115712.csv,/pub10/ushcn_snow/R_input/IL,csv,2754884
115768.csv,/pub10/ushcn_snow/R_input/IL,csv,2962890
115833.csv,/pub10/ushcn_snow/R_input/IL,csv,2916340
115901.csv,/pub10/ushcn_snow/R_input/IL,csv,2995416
115943.csv,/pub10/ushcn_snow/R_input/IL,csv,3133632
116446.csv,/pub10/ushcn_snow/R_input/IL,csv,2875250
116526.csv,/pub10/ushcn_snow/R_input/IL,csv,3005568
116558.csv,/pub10/ushcn_snow/R_input/IL,csv,2947068
116579.csv,/pub10/ushcn_snow/R_input/IL,csv,2794500
116610.csv,/pub10/ushcn_snow/R_input/IL,csv,3113775
116738.csv,/pub10/ushcn_snow/R_input/IL,csv,571824
116910.csv,/pub10/ushcn_snow/R_input/IL,csv,2788911
117551.csv,/pub10/ushcn_snow/R_input/IL,csv,2879831
118147.csv,/pub10/ushcn_snow/R_input/IL,csv,2966904
118740.csv,/pub10/ushcn_snow/R_input/IL,csv,2771272
118916.csv,/pub10/ushcn_snow/R_input/IL,csv,2849268
119241.csv,/pub10/ushcn_snow/R_input/IL,csv,3088488
119354.csv,/pub10/ushcn_snow/R_input/IL,csv,2727984
120177.csv,/pub10/ushcn_snow/R_input/IN,csv,3017817
120200.csv,/pub10/ushcn_snow/R_input/IN,csv,2505868
120676.csv,/pub10/ushcn_snow/R_input/IN,csv,2717208
120784.csv,/pub10/ushcn_snow/R_input/IN,csv,3215619
121030.csv,/pub10/ushcn_snow/R_input/IN,csv,2125800
121229.csv,/pub10/ushcn_snow/R_input/IN,csv,2561600
121425.csv,/pub10/ushcn_snow/R_input/IN,csv,892779
121747.csv,/pub10/ushcn_snow/R_input/IN,csv,2845570
121873.csv,/pub10/ushcn_snow/R_input/IN,csv,911817
122149.csv,/pub10/ushcn_snow/R_input/IN,csv,2743848
123418.csv,/pub10/ushcn_snow/R_input/IN,csv,2403216
123513.csv,/pub10/ushcn_snow/R_input/IN,csv,2726724
123527.csv,/pub10/ushcn_snow/R_input/IN,csv,2432016
124008.csv,/pub10/ushcn_snow/R_input/IN,csv,2015760
124181.csv,/pub10/ushcn_snow/R_input/IN,csv,911520
124837.csv,/pub10/ushcn_snow/R_input/IN,csv,1664970
125237.csv,/pub10/ushcn_snow/R_input/IN,csv,2759200
125337.csv,/pub10/ushcn_snow/R_input/IN,csv,3085056
126001.csv,/pub10/ushcn_snow/R_input/IN,csv,2970782
126580.csv,/pub10/ushcn_snow/R_input/IN,csv,3061538
126705.csv,/pub10/ushcn_snow/R_input/IN,csv,2667739
127125.csv,/pub10/ushcn_snow/R_input/IN,csv,3008550
127298.csv,/pub10/ushcn_snow/R_input/IN,csv,997992
